text,sentiment
"The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast .",positive
The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,positive
The Group aims to increase its net sales and comparable operating profit in 2006 .,positive
The order also includes start-up and commissioning services .,neutral
"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .",neutral
The phones are targeted at first time users in growth markets .,neutral
"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .",neutral
The revenues of the business reached NOK 12 million for 2008 .,neutral
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",positive
"The subscriptions increase Cargotec 's share capital by EUR 27,060 .",positive
"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should double Atria Russia 's production capacity in the St Petersburg area .",positive
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,neutral
"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .",neutral
U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .,neutral
"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn .",neutral
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",neutral
We have made long-term investments in developing the system 's implementation model .,neutral
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive
"With this subscription , Fortum 's ownership in TGK-10 has increased to slightly over 76 % of shares and voting rights .",neutral
VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .",positive
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",negative
