text,sentiment
Net investment income,neutral
"no compensation for its news , opinions or distributions .",neutral
No financial details were available .,neutral
No financial details were disclosed .,neutral
No financial details were provided .,neutral
No financial details were reported .,neutral
No more waste-burning facilities should be built .,neutral
"No price was given for the transaction , which merges two London companies that have worked together on a number of projects including delivery of timetables for Britain 's National Express East Coast rail networks .",neutral
No pricing details were disclosed .,neutral
"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",neutral
Nordea Bank Estonia is part of the largest financial group in the Nordic countries .,neutral
"Of the company 's net sales , 38 % was acquired in Finland , 21 % in other European countries , 40 % in Asia , and 1 % in the US .",neutral
Officials did not disclose the contract value .,neutral
"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral
"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .",neutral
Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .,negative
Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 .,positive
Otherwise the situation is under control .,neutral
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",neutral
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral
"Our in-depth expertise extends to the fields of energy , industry , urban & mobility and water & environment .",neutral
"Particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class B , and LEED certification will be applied for .",neutral
"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 .",neutral
Payment of shares shall be effected on subscription .,neutral
"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 .",neutral
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral
Poyry is a global expert in consulting and engineering .,neutral
"POYRY PLC Additional information by : Heikki Malinen , President and CEO , Poyry PLC tel. +358 10 33 21307 Poyry is a global expert in consulting and engineering .",neutral
Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .,neutral
"Product deliveries will not be interrupted , the refiner said , giving no financial details .",neutral
Production is scheduled to start by the end of April 2007 .,neutral
Protalix has $ 42 million in cash and no sales .,neutral
Public services will also be available .,neutral
"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009",neutral
Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .,neutral
Raute is listed on the Nordic exchange in Helsinki .,neutral
Registration is required .,neutral
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,neutral
"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",neutral
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral
"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .",neutral
Saunalahti is a part of the Elisa group .,neutral
"says Brian Burton , Head of IT Security , Vodafone UK .",neutral
"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",neutral
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,neutral
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral
Sponda Plc 's Annual General Meeting decided on 23 March 2005 to establish a Shareholders ' Nomination Committee to prepare proposals for the Annual General Meeting in 2006 on the composition of the Board of Directors and their remuneration .,neutral
"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",neutral
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral
SSH Establishes New Global Sales and Marketing Group to be led by George Adams ; Adams Establishes Global Sales and Marketing Group to Drive Worldwide Programs Supporting SSH Tectia Enterprise Security Solutions,neutral
Status : Agreed,neutral
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral
"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .",neutral
"Stora Enso , a global paper , packaging and wood products company , and Neste Oil , a Finnish company engaged in the refining and marketing of oil , have inaugurated the demonstration plant at Varkaus , Finland for biomass to liquids production utilizing forestry residues .",neutral
STUK today is a full service house expert in radiation and nuclear safety issues .,neutral
"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''",neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .,neutral
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral
"Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % .",neutral
